old_code,old_name,old_name_ja,new_code,new_name,new_name_ja,merged_year,confidence,source
23341,Nishibiwajima-cho,西枇杷島町,23233,Kiyosu-shi,清須市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
23343,Shikatsu-cho,師勝町,23234,Kitanagoya-shi,北名古屋市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
23401,Sobue-cho,祖父江町,23232,Aisai-shi,愛西市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
23421,Shippo-cho,七宝町,23237,Ama-shi,あま市,2010,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
23428,Yatomi-cho,弥富町,23235,Yatomi-shi,弥富市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
23429,Saya-cho,佐屋町,23232,Aisai-shi,愛西市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
23521,Miyoshi-cho,みよし町,23236,Miyoshi-shi,みよし市,2010,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
23522,Fujioka-cho,藤岡町,23232,Aisai-shi,愛西市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
26401,Sonobe-cho,園部町,26213,Nantan-shi,南丹市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
27201,Sakai-shi,堺市,27140,Sakai-shi,堺市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
28211,Tatsuno-shi,龍野市,28586,Shinonsen-cho,新温泉町,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
28341,Yashiro-cho,社町,28228,Kato-shi,加東市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
28521,Yamasaki-cho,山崎町,28226,Awaji-shi,淡路市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
28681,Tsuna-cho,津名町,28226,Awaji-shi,淡路市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
30321,Uchita-cho,打田町,30208,Kinokawa-shi,紀の川市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
30326,Iwade-cho,岩出町,30209,Iwade-shi,岩出市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
