station_id,name,name_ja,name_source,lat,lng,pref,operators,merge_confidence,member_count
st_00049,Tennozu Isle,天王洲アイル,odpt,35.620380,139.750840,Tokyo,Tokyo Monorail;Tokyo Waterfront Area Rapid Transit,high,2
st_00050,Tokyo International Cruise Terminal,東京国際クルーズターミナル,odpt,35.621350,139.773090,Tokyo,Yurikamome,single,1
st_00051,Keio-Tama Center,京王多摩センター,odpt,35.623900,139.422800,Tokyo,Keio Corporation;Odakyu Electric Railway;Tokyo Tama Intercity Monorail,high,3
st_00052,Aomi,青海,odpt,35.624790,139.781310,Tokyo,Yurikamome,single,1
st_00053,Daiba,台場,odpt,35.625910,139.771420,Tokyo,Yurikamome,single,1
st_00054,Gotanda,五反田,odpt,35.626878,139.723965,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation;Tokyu Railways,high,3
st_00055,Tokyo Teleport,東京テレポート,odpt,35.627540,139.778850,Tokyo,Tokyo Waterfront Area Rapid Transit,single,1
st_00056,Odaiba-kaihinkōen,お台場海浜公園,odpt,35.629900,139.778780,Tokyo,Yurikamome,single,1
st_00057,Tokyo Big Sight,東京ビッグサイト,odpt,35.630250,139.791340,Tokyo,Yurikamome,single,1
st_00058,Takanawadai,高輪台,odpt,35.631751,139.730384,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00059,Matsugaya,松が谷,odpt,35.631800,139.422000,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00060,Meguro,目黒,odpt,35.633060,139.715552,Tokyo,JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation;Tokyu Railways,high,4
st_00061,Kokusai-tenjijo,国際展示場,odpt,35.634625,139.792440,Tokyo,Tokyo Waterfront Area Rapid Transit;Yurikamome,high,2
st_00062,Otsuka-Teikyo-Daigaku,大塚・帝京大学,odpt,35.636900,139.416400,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00063,Shirokanedai,白金台,odpt,35.637811,139.725933,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00064,Sengakuji,泉岳寺,odpt,35.638715,139.739993,Tokyo,JR East;Keikyu Corporation;Tokyo Metropolitan Bureau of Transportation,high,4
st_00065,Ariake-tennis-no-mori,有明テニスの森,odpt,35.639980,139.788870,Tokyo,Yurikamome,single,1
st_00066,Shinonome,東雲,odpt,35.640600,139.803280,Tokyo,Tokyo Waterfront Area Rapid Transit,single,1
st_00067,Shibaura-futō,芝浦ふ頭,odpt,35.641780,139.757810,Tokyo,Yurikamome,single,1
st_00068,Chuo-Daigaku-Meisei-Daigaku,中央大学・明星大学,odpt,35.641900,139.408700,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00069,Shirokane-takanawa,白金高輪,odpt,35.643214,139.734314,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00070,Naka-meguro,中目黒,odpt,35.644108,139.698833,Tokyo,Tokyo Metro;Tokyu Railways,high,2
st_00071,Shijō-mae,市場前,odpt,35.645690,139.785650,Tokyo,Yurikamome,single,1
st_00072,Tatsumi,辰巳,odpt,35.645775,139.810330,Tokyo,Tokyo Metro,single,1
st_00073,Shin-kiba,新木場,odpt,35.645910,139.826693,Tokyo,JR East;Tokyo Metro;Tokyo Waterfront Area Rapid Transit,high,3
st_00074,Mita,三田,odpt,35.647700,139.747938,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation,high,4
st_00075,Ebisu,恵比寿,odpt,35.647040,139.708701,Tokyo,JR East;Tokyo Metro,high,4
st_00076,Tama-dobutsukoen,多摩動物公園,odpt,35.648500,139.403800,Tokyo,Keio Corporation;Tokyo Tama Intercity Monorail,high,2
